short_name,long_name,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,power_shot_power,power_stamina,power_strength,mentality_vision,mentality_penalties,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,mentality_interceptions,power_jumping,overall,player_tags,"resource player"
"L. Messi","Lionel Andrés Messi",85,95,70,91,88,96,93,94,91,96,91,80,86,72,69,95,75,35,24,6,11,15,14,40,68,93,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",http://dbpedia.org/resource/Lionel_Messi
"Cristiano Ronaldo","Cristiano Ronaldo dos Santos Aveiro",84,95,90,82,86,88,81,76,77,92,87,91,94,84,78,82,84,32,24,7,11,15,14,29,95,92,"#Aerial Threat, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",http://dbpedia.org/resource/Cristiano_Ronaldo
"J. Oblak","Jan Oblak",13,11,15,43,13,12,13,14,40,30,43,60,59,41,78,65,11,12,18,87,92,78,90,19,78,91,,http://dbpedia.org/resource/Jan_Oblak
"R. Lewandowski","Robert Lewandowski",71,94,85,84,89,85,79,85,70,88,77,78,89,76,86,79,88,42,19,15,6,12,8,49,84,91,"#Distance Shooter, #Clinical Finisher",http://dbpedia.org/resource/Robert_Lewandowski
"Neymar Jr","Neymar da Silva Santos Júnior",85,87,62,87,87,95,88,89,81,95,94,89,80,81,50,90,92,30,29,9,9,15,15,36,62,91,"#Speedster, #Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",http://dbpedia.org/resource/Neymar
"K. De Bruyne","Kevin De Bruyne",94,82,55,94,82,88,85,83,93,92,77,76,91,89,74,94,84,65,53,15,13,5,10,66,63,91,"#Dribbler, #Playmaker, #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",http://dbpedia.org/resource/Kevin_De_Bruyne
"K. Mbappé","Kylian Mbappé Lottin",78,91,73,83,83,92,79,63,70,90,96,96,86,86,76,80,70,34,32,13,5,7,11,38,77,90,"#Speedster, #Dribbler, #Acrobat",http://dbpedia.org/resource/Kylian_Mbappé
"M. ter Stegen","Marc-André ter Stegen",18,14,11,61,14,21,18,12,63,30,38,50,66,35,78,70,25,13,10,88,85,88,88,22,79,90,,http://dbpedia.org/resource/Marc-André_ter_Stegen
"V. van Dijk","Virgil van Dijk",53,52,87,79,45,70,60,70,86,77,72,79,81,75,92,65,62,93,86,13,10,13,11,90,90,90,"#Tackling, #Tactician, #Strength, #Complete Defender",http://dbpedia.org/resource/Virgil_van_Dijk
"S. Mané","Sadio Mané",76,90,84,85,75,91,76,64,71,89,95,93,84,88,70,85,71,42,38,10,10,15,7,35,86,90,"#Speedster, #Dribbler, #Acrobat",http://dbpedia.org/resource/Sadio_Mané
"M. Salah","Mohamed Salah Hamed Mahrous Ghaly",79,91,59,84,79,90,83,69,75,89,94,92,80,85,75,84,83,43,41,14,14,9,11,55,69,90,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",http://dbpedia.org/resource/Mohamed_Salah
"T. Courtois","Thibaut Nicolas Marc Courtois",14,14,13,33,12,13,19,20,35,23,42,52,56,38,70,44,27,18,16,84,89,74,85,15,68,89,,http://dbpedia.org/resource/Thibaut_Courtois
"S. Agüero","Sergio Leonel Agüero del Castillo",70,94,78,83,86,88,83,73,64,89,79,78,89,78,74,83,75,29,24,13,15,6,11,24,78,89,"#Dribbler, #Clinical Finisher, #Complete Forward",http://dbpedia.org/resource/Sergio_Agüero
"Sergio Ramos","Sergio Ramos García",66,65,92,82,69,65,74,76,83,83,72,70,79,81,85,71,92,88,90,11,8,9,7,88,93,89,"#Aerial Threat, #Tackling, #Tactician, #Complete Defender",http://dbpedia.org/resource/Sergio_Ramos
"K. Benzema","Karim Mostafa Benzema",75,88,91,86,86,87,81,73,73,90,77,72,84,78,80,87,84,24,18,13,11,5,5,39,79,89,#Poacher,http://dbpedia.org/resource/Karim_Benzema
"M. Neuer","Manuel Peter Neuer",15,13,25,55,11,30,14,11,59,46,54,60,68,43,80,70,47,10,11,87,87,91,86,30,77,89,,http://dbpedia.org/resource/Manuel_Neuer
Casemiro,"Carlos Henrique Casimiro",58,64,80,84,63,69,63,74,84,79,60,69,88,90,91,80,66,88,87,13,14,16,12,87,87,89,"#Engine, #Tackling, #Tactician, #Strength, #Complete Defender",http://dbpedia.org/resource/Casemiro
Ederson,"Ederson Santana de Moraes",20,14,14,57,18,23,15,20,59,40,64,63,70,41,78,70,17,15,8,86,82,93,86,27,66,88,,"http://dbpedia.org/resource/Ederson_(footballer,_born_1993)"
"R. Sterling","Raheem Shaquille Sterling",78,85,46,84,67,90,77,63,69,88,96,90,78,79,65,82,69,53,47,15,12,12,15,30,57,88,"#Speedster, #Dribbler, #Acrobat",http://dbpedia.org/resource/Raheem_Sterling
"J. Kimmich","Joshua Walter Kimmich",91,66,72,87,67,83,85,61,86,85,77,66,78,95,67,84,44,84,79,8,15,7,15,82,79,88,#Crosser,http://dbpedia.org/resource/Joshua_Kimmich
"H. Kane","Harry Edward Kane",75,94,85,81,85,80,80,68,83,84,66,69,91,84,84,83,90,36,38,8,10,11,14,35,79,88,"#Distance Shooter, #Clinical Finisher",http://dbpedia.org/resource/Harry_Kane
"P. Dybala","Paulo Exequiel Dybala",82,84,64,87,88,91,88,88,75,94,89,82,82,78,60,87,86,48,40,5,4,4,5,42,75,88,"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Complete Midfielder",http://dbpedia.org/resource/Paulo_Dybala
"T. Kroos","Toni Kroos",88,76,58,93,82,80,86,84,93,89,57,52,89,75,73,90,73,73,60,10,11,13,7,79,32,88,"#Playmaker, #Distance Shooter, #Crosser, #Complete Midfielder",http://dbpedia.org/resource/Toni_Kroos
"E. Hazard","Eden Michael Hazard",77,82,61,85,83,93,83,79,81,91,91,86,82,82,63,86,87,27,22,11,12,6,8,41,56,88,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Eden_Hazard
"K. Koulibaly","Kalidou Koulibaly",30,22,84,74,14,69,28,28,63,74,73,77,55,70,94,52,33,89,87,7,11,7,13,87,82,88,"#Tackling, #Tactician, #Strength, #Complete Defender",http://dbpedia.org/resource/Kalidou_Koulibaly
"N. Kanté","N'Golo Kanté",68,65,54,85,56,79,49,49,79,80,79,76,71,96,72,79,54,90,85,15,12,10,7,91,77,88,"#Tackling, #Tactician",http://dbpedia.org/resource/N'Golo_Kanté
"J. Sancho","Jadon Malik Sancho",83,81,38,88,83,92,81,48,68,91,86,81,70,77,67,87,60,41,32,7,11,10,11,39,51,87,"#Dribbler, #Acrobat",http://dbpedia.org/resource/Jadon_Sancho
"T. Alexander-Arnold","Trent Alexander-Arnold",93,56,69,85,62,77,88,85,89,87,77,83,80,88,62,84,55,83,79,14,15,14,6,82,66,87,#Crosser,http://dbpedia.org/resource/Trent_Alexander-Arnold
"Bruno Fernandes","Bruno Miguel Borges Fernandes",87,77,58,88,86,85,86,87,87,88,78,76,89,94,67,90,91,67,55,12,14,15,8,74,72,87,"#Playmaker, #Engine, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder",http://dbpedia.org/resource/Bruno_Fernandes
"A. Laporte","Aymeric Laporte",58,45,86,82,40,63,61,69,80,78,60,65,68,72,85,65,44,89,88,10,11,5,14,87,76,87,"#Tackling, #Tactician",http://dbpedia.org/resource/Aymeric_Laporte
Fabinho,"Fábio Henrique Tavares",75,63,75,85,47,76,71,53,83,82,66,68,81,88,81,79,90,87,85,13,12,6,8,87,75,87,"#Tackling, #Tactician","http://dbpedia.org/resource/Fabinho_(footballer,_born_1993)"
